categoria,item,precio_por_persona,minimo_personas,descripcion
Desayunos,Desayuno Ejecutivo,180,10,"Fruta fresca, yogurt orgánico, granola artesanal, pan integral, café de olla"
Desayunos,Desayuno Continental,220,15,"Jugos naturales, fruta de temporada, pan artesanal, mermeladas caseras, café premium"
Desayunos,Desayuno Mexicano,250,20,"Chilaquiles verdes, frijoles refritos, fruta fresca, café de olla, agua fresca"
Almuerzos,Almuerzo Saludable,320,15,"Ensalada gourmet, proteína orgánica, quinoa, verduras al vapor, postre natural"
Almuerzos,Almuerzo Ejecutivo,380,20,"Sopa del día, plato fuerte, ensalada, postre, agua fresca, café"
Almuerzos,Almuerzo Vegetariano,350,10,"Bowl de quinoa, verduras orgánicas, proteína vegetal, postre vegano"
Cenas,Cena Gourmet,450,25,"Entrada, plato fuerte premium, postre artesanal, bebida especial"
Cenas,Cena Familiar,380,30,"Platos para compartir, ensaladas variadas, postres caseros, aguas frescas"
Cenas,Cena Vegana,420,15,"Menú 100% vegano, ingredientes orgánicos, postres sin lácteos"
Eventos,Cocktail Saludable,280,50,"Canapés orgánicos, bebidas naturales, frutas gourmet, snacks saludables"
Eventos,Buffet Corporativo,350,40,"Estación de ensaladas, platos calientes, postres, bebidas ilimitadas"
Eventos,Boda Sustentable,480,100,"Menú completo, decoración natural, servicio premium, bar orgánico"
Adicionales,Servicio Meseros,150,1,"Mesero profesional por 4 horas"
Adicionales,Montaje Completo,200,1,"Mesas, sillas, mantelería, decoración básica"
Adicionales,Vajilla Premium,80,1,"Platos, cubiertos y cristalería premium por persona"
Adicionales,Decoración Floral,300,1,"Centros de mesa con flores y vegetales orgánicos"
Adicionales,Barra de Bebidas,250,1,"Aguas frescas, jugos naturales, café premium ilimitado"
Adicionales,Chef en Vivo,800,1,"Chef preparando platillos en vivo durante el evento"

